Di Mattia's Restaurant, 1 N Main St, Allentown, NJ 08501, 609-662-6287
Montesini Pizzeria & Pasta, 221 Greentree Rd #A, Marlton, NJ 08053, 856-672-5549
Ciconte's Italia Pizzeria, 915 W Route 70, Marlton, NJ 8053, 856-888-4451
Ragazzi, 44 W Rte 70, Marlton, NJ 08053, 856-888-9321
Scotto Pizza, 230 N Maple Ave, Marlton, NJ 08053, 856-341-9402
Pappy's Pig Roast & Barbeque, 205 Roosevelt Blvd, Marmora, NJ 08223, 609-336-4316
Pizza Station, 72 Tuckahoe Rd, Marmora, NJ 08223, 609-616-3015
Kirk's Pizzeria, 44 Rte US 9 N, Marmora, NJ 08223, 609-418-4703
Joe's Pizza, 1938 Washington Valley Rd, Martinsville, NJ 08836, 732-723-4274
Lombardi Pizza Co, 1958 Washington Valley Rd, Martinsville, NJ 08836, 732-391-6828
Panatieri's Pizza & Pasta Italian Restaurant, 1910 Washington Valley Rd, Martinsville, NJ 08836, 732-507-9247
Pizza Brothers, 1982 Washington Valley Rd, Martinsville, NJ 08836, 732-507-9474
Grana Pizza Cafe (formerly Ciro's), 25 Morristown Rd, Matawan, NJ 07747, 732-585-1797
Famiglia Ristorante & Pizzeria, 4 Morristown Rd, Matawan, NJ 07747, 732-876-9066
Attilio's Pizza Restaurant, 8 Cliffwood Ave, Matawan, NJ 07747, 732-440-9697
DiBari's Main Street Pizza, 259 Main St, Matawan, NJ 07747, 732-365-3463
A Scotto's Pizza Restaurant, 62 Freneau Ave, Matawan, NJ 07747, 732-305-2253
Benedetta's Pizza & Restaurant, 39 Mill Rd, Matawan, NJ 07747, 732-876-9329
Angelo's Pizza & Sub Shop, 321 Broad St, Matawan, NJ 07747, 732-532-3606
Flame 800, 745 NJ-34, Matawan, NJ 07747, 732-585-1544
Carlo's Gourmet Pizza & Pasta, 351 NJ-34, Matawan, NJ 07747, 732-329-7412
La Strada Pizza, 1 Gaston St, Matawan, NJ 07747, 732-365-3462
Maurizio's Pizzeria, 4215 E Black Horse Pike, Mays Landing, NJ 08330, 609-904-9073
Nino's Pizza Festival, 4450 E Black Horse Pike, Mays Landing, NJ 08330, 609-418-4737
Cousin Mario's Italian Restaurant & Bar, 5401 Harding Hwy #1, Mays Landing, NJ 08330, 609-798-1048
Frankie's Pizza II, 565 NJ-50, Mays Landing, NJ 08330, 609-312-5625
Just Pizza, 6056 Harding Hwy, Mays Landing, NJ 08330, 609-616-4935
Classic Pizza Pie, 6394 Harding Hwy, Mays Landing, NJ 08330, 609-536-4829
Jo Ann's Pizza & Restaurant II, 913 NJ-50, Mays Landing, NJ 08330, 609-910-0819
Cheech 2 Go, 6279 Old Harding Hwy, Mays Landing, NJ 08330, 609-445-3376
Palace Restaurant & Outfitters, 6924 Black Horse Pike, Mays Landing, NJ 08330, 609-445-3547
Godfather's Italian Grill, 2300 Wrangleboro Rd, Mays Landing, NJ 08330, 609-445-3384
Mario's Pizza, 132 W Pleasant Ave, Maywood, NJ 07607, 201-734-5610
Pizza Pros, 105 Essex St, Maywood, NJ 07607, 201-957-7642
Angelo's Pizzeria, 62 W Pleasant Ave, Maywood, NJ 07607, 201-561-7457
Twin Door Tavern, 122 W Pleasant Ave, Maywood, NJ 07607, 201-646-5617
Ciao Italia Pizza, 175 Route 70, Medford, NJ 08055, 609-451-2265
La Bella Pizza, 199 Medford Mt Holly Rd, Medford, NJ 08055, 609-546-3170
Tiga's Artisan Pizzeria, 643 Stokes Rd, Medford, NJ 08055, 609-257-3324
Riviera Pizza, 212 Tuckerton Rd, Medford, NJ 08055, 856-282-4875
Cerino's Pizza, 176 Route 70 East, Medford, NJ 08055, 609-473-6153
Illiano Cucina, 200 Tuckerton Rd, Medford, NJ 08055, 856-408-1632
Femmina Italian Grill, 408 Stokes Rd, Medford, NJ 08055, 609-546-3755
Dilisi's Pizza, 238 Taunton Blvd, Medford, NJ 08055, 856-242-7732
Tony Soprano's Pizza, 11 Jackson Rd, Medford, NJ 08055, 609-726-5167
Branco's Pizza, 428 Stokes Rd, Medford, NJ 08055, 609-473-6144
Antonio's Brick Oven Pizza, 453 Main St, Metuchen, NJ 08840, 732-482-9759
Vecchio Forno Pizzeria & Ristorante, 205 Main St, Metuchen, NJ 08840, 732-554-3046
Buon Appetito, 399 Main St, Metuchen, NJ 08840, 732-355-3368
Joey D's Pizza, 279 Co Rd 669, Metuchen, NJ 08840, 732-646-6621
What's The Scoop, 410 Main St, Metuchen, NJ 08840, 732-313-0521
La Familia, 671 Harris Ave, Middlesex, NJ 08846, 732-844-8393
Mario's Pizza Center, 246 Lincoln Blvd, Middlesex, NJ 08846, 732-812-5101
Forte's Pizza, 230 Mountain Ave, Middlesex, NJ 08854, 848-242-8463
Tim Kerwin's Tavern, 353 Bound Brook Rd, Middlesex, NJ 08846, 732-385-3192
Jozanna's Casual Italian, 409 Lincoln Blvd, Middlesex, NJ 08846, 732-876-9283
Luca's Pizza, 115 Harris Ave, Middlesex, NJ 08846, 732-844-8426
Ferraro's Pizza, 275 Lincoln Blvd, Middlesex, NJ 08846, 732-537-8396
Tre Colore Pizzeria, 1207 NJ-35, Middletown, NJ 07748, 732-759-9161
Pasquale's Pizzeria III, 147 Cherry Tree Farm Rd, Middletown, NJ 07748, 732-759-9160
Lubrano's 36, 26 NJ-36, Middletown, NJ 07748, 732-355-3356
Toscanella Village Cafe, 102 Kings Hwy, Middletown, NJ 07748, 732-737-6582
Fiamma Wood Fired Pizza - Millburn, 32 Main St, Millburn, NJ 07041, 973-828-8153
The Salad House, 343 Millburn Ave, Millburn, NJ 07041, 973-210-7189
Clemenza's Gourmet Brick Oven Pizza, 382 Millburn Ave, Millburn, NJ 07041, 973-380-0247
Gian Marco Trattoria, 301 Millburn Ave, Millburn, NJ 07041, 973-935-3521
Moonshine Modern Supper Club, 55 Main St, Millburn, NJ 07041, 973-564-0639
La Strada Restaurant, 355 Millburn Ave, Millburn, NJ 07041, 973-564-0757
GianMarco's, 504 Monmouth Rd, Millstone, NJ 08510, 609-630-7025
Vesuvio's Pizzeria & Family Restaurant, 221 Millstone Rd, Millstone, NJ 08535, 732-479-7905
Tre Colore Pizzeria & Restaurant, 480 NJ-33, Millstone, NJ 08535, 732-532-3914
Bella Napoli, 441 Millstone Rd, Millstone, NJ 08510, 609-757-4174
Francesco Pizza, 23 N Main St, Milltown, NJ 08850, 732-339-3931
Dusal's Pizza, 100 Ryders Ln , Milltown, NJ 08850, 732-646-6358
Maria's Pizza & Italian Kitchen, 119 N Main St, Milltown, NJ 08850, 732-338-7074
Pasquale Brick Oven Pizza, 120 Ryders Ln, Milltown, NJ 08850, 732-507-9289
Papa Luigis, 600 Sherman Ave, Millville, NJ 08332, 856-300-6515
Paradise Pizza & Restaurant, 2 E Main St, Millville, NJ 08332, 856-300-6571
Manny's Pizzeria, 426 N High St, Millville, NJ 08332, 856-300-6596
S & J Pizzeria, 226 E Broad St, Millville, NJ 08332, 856-440-6127
Danny's Pizza Pizzazz, 1405 Mays Landing Rd, Millville, NJ 08332, 856-440-6048
Bim's Pizzeria, 618 E Main St, Millville, NJ 08332, 856-440-6003
Luigi's Pizzeria & Restaurant, 201 E Main St, Millville, NJ 08332, 856-440-6042
Alessio's, 1712 E Main St, Millville, NJ 08332, 856-300-6599
Dough Father, 7 Taylor Ave, Monroe Twp, NJ 08831, 732-945-8850
Villa Laura Restaurant, 365 Sp Englishtown Rd, Monroe Twp, NJ 08831, 732-532-3468
D & T Pizza Restaurant, 1600 Perrineville Rd, Monroe Twp, NJ 08831, 609-785-3708
Panzano Pizzeria Trattoria, 71 Walnut St, Montclair, NJ 07042, 973-847-2018
Villa Victoria Pizzeria, 11 Park St, Montclair, NJ 07042, 973-746-4426
Fiammella Wood Fired Pizza & Italian Restaurant, 558 Bloomfield Ave, Montclair, NJ 07042, 862-212-1587
AMORE PIZZA by jack calandra, 322 Orange Rd, Montclair, NJ 07042, 973-609-5901
Soho Pizza & Grill, 540 Valley Rd, Montclair, NJ 07043, 973-510-2203
Grindage Pizza, 438 Bloomfield Ave, Montclair, NJ 07042, 973-833-4246
Fresco, 15 Church St, Montclair, NJ 07042, 973-520-5820
Salute Brick Oven bistro, 173 Glenridge Ave, Montclair, NJ 07042, 973-860-3472
Ah' Pizza, 7 N Willow St, Montclair, NJ 07042, 973-860-3063
Ruthie's BBQ & Pizza, 64 1/2 Chestnut St, Montclair, NJ 07042, 973-528-1969
Franco’s Pizza, 6 S Kinderkamack Rd, Montvale, NJ 07645, 201-822-9898
Momma's Kitchen, 15 W Grand Ave, Montvale, NJ 07645, 201-949-3848
Phil's Pizzeria & Restaurant, 4 Chestnut Ridge Rd, Montvale, NJ 07645, 201-775-9602
Healthy Garden & Gourmet Pizza, 73 E Main St, Moorestown, NJ 08057, 856-924-6173
Carollo's Little Italy, 77 E Main St, Moorestown, NJ 08057, 856-242-7745
Maurizio's Bistro, 33 E Main St, Moorestown, NJ 08057, 856-242-7432
La Vita's Pizzeria, 121 W Main St, Moorestown, NJ 08057, 856-242-8955
Brooklyn Pizza, 400 W Route 38, Moorestown, NJ 08057, 856-242-7603
Passariello's Pizzeria, 13 W Main St, Moorestown, NJ 08057, 856-263-4083
Mario's Brickoven & Restaurant, 192 Speedwell Ave, Morris Plains, NJ 7950, 973-828-0552
Il Villaggio Restaurant, 22 Gibraltar Dr, Morris Plains, NJ 07950, 973-541-8091
Lovey's Pizza & Grill, 91 W Hanover Ave, Morris Plains, NJ 07950, 973-532-5039
Tony's Pizza, 668 Speedwell Ave, Morris Plains, NJ 07950, 973-355-7149
Annabella's Pizzeria & Restaurant, 401 Speedwell Ave, Morris Plains, NJ 07950, 973-828-0655
The Godfather of Morristown, 10 Lafayette Ave, Morristown, NJ 07960, 862-260-8259
Pomodoro Ristorante & Pizzeria, 125 Morris St, Morristown, NJ 07960, 973-355-7820
Fiamma Wood Fired Pizza, 47 S Park Pl, Morristown, NJ 07960, 973-998-7070
Mediterranean Pizza & Grill, 119 Morris St, Morristown, NJ 07960, 973-453-3619
Portofino's Restaurant, 29 Mills St, Morristown, NJ 07960, 973-528-1820
Nunzio's Dolce Vita, 90 South St, Morristown, NJ 07960, 973-370-8761
Morris Pizzeria, 66 Morris St, Morristown, NJ 07960, 973-532-5243
Suvio's, 83 Washington St, Morristown, NJ 07960, 973-355-7153
Millie's Old World Meatball, 60 South St, Morristown, NJ 07960, 973-355-7743
Pizza Express, 312 Howard Blvd, Mt Arlington, NJ 07856, 973-601-5832
Broadway Fresh Grill, 180 Howard Blvd, Mt Arlington, NJ 07856, 973-370-9672
Frank's Pizza, 181 Howard Blvd, Mt Arlington, NJ 07856, 973-601-5673
Tony Roni's Restaurant, 1 N Black Horse Pike, Mt Ephraim, NJ 08059, 856-931-1600
Rexy's Bar & Restaurant, 700 Black Horse Pike, Mt Ephraim, NJ 08059, 856-522-4437
Pete's Pizza & Italian Grill, 604 W Kings Hwy, Mt Ephraim, NJ 08059, 856-617-5102
La Vita Pizzeria, 12 High St, Mt Holly, NJ 08060, 609-831-4869
Sal's Pizza, 509 High St, Mt Holly, NJ 08060, 609-372-5229
Pizza Barn, 2670 Route 206 #C, Mt Holly, NJ 08060, 609-795-7261
King of Pizza, 1690 NJ-38, Mt Holly, NJ 08060, 609-676-2178
Gaetano's Pizzeria of Mount Holly, 434 Pine St, Mt Holly, NJ 08060, 609-400-4894
Francesca's Pizza, Pasta & Grill, 127 Ark Rd #14, Mt Laurel, NJ 08054, 856-317-6624
Crust N Fire, 439 Larchmont Blvd, Mt Laurel, NJ 08054, 856-619-7008
Angelo's II Pizzeria & Ristorante, 271 Masonville Rd, Mt Laurel, NJ 08054, 856-249-4054
Angelo's Pizza Union Mill Road, 878 Union Mill Rd, Mt Laurel, NJ 08054, 856-924-6844
Angelo's Pizza, 200 Larchmont Blvd, Mt Laurel, NJ 08054, 856-263-5123
Scotto Pizza Cafe, 3111 Rte 38, Mt Laurel, NJ 08054, 856-778-4800
Tony Soprano's Pizza, 3747 Church Rd, Mt Laurel, NJ 08054, 856-222-0356
Mama's Pizza Grille & Bistro, 2973 Marne Hwy, Mt Laurel, NJ 08054, 856-373-4781
LaScala's Pronto, 4040 Dearborn Cir, Mt Laurel, NJ 08054, 856-431-5714
Ristorante Al Fresco, 1155 NJ-73, Mt Laurel, NJ 08054, 856-441-2197
Holy Tomato Too, 48 North Main St, Mullica Hill, NJ 08062, 856-230-7108
Marino's Of Mullica Hill, 157 Bridgeton Pike, Mullica Hill, NJ 08062, 856-230-7409
Chianti Italian Restaurant, 127 Bridgeton Pike, Mullica Hill, NJ 08062, 856-230-7474
Naples Pizza, 1 S Main St, Mullica Hill, NJ 08062, 856-230-7365
Joe's Pizza, 108 Swedesboro Rd, Mullica Hill, NJ 08062, 856-230-7516
Maurizio Pizzeria, 2200 NJ-66, Neptune, NJ 07753, 732-490-7347
Luigi's Pizza, 35 S Main St, Neptune, NJ 07753, 732-479-4084
Il Posto, 1129 5Th Ave, Neptune, NJ 07753, 732-963-1702
Neptune Pizza, 211 Hwy 35, Neptune, NJ 07753, 732-481-1573
Santino's Pizza Etc, 35 Sylvania Ave, Neptune, NJ 7753, 732-203-5029
La Lupa Di Roma, 205 W Sylvania Ave, Neptune, NJ 07753, 732-365-4105
Delvettos Restaurant, 3705 NJ-33, Neptune, NJ 07753, 732-719-7626
Pete & Elda's Bar / Carmen's Pizzeria, 93 Summit Ave, Neptune, NJ 07753, 732-532-3574
Nanno's Pizza & Grill, 113 3rd Ave, Neptune City, NJ 07753, 732-654-0042
Molinari's Restaurant Pizzeria & Bar, 312 W Sylvania Ave, Neptune City, NJ 07753, 210-361-4436
Dominic's Pizzeria, 2461 State Route 33, Neptune City, NJ 07753, 732-365-4374
Giovanneli's Pizza & Grill, 60 Easton Ave, New Brunswick, NJ 08901, 732-734-6856
Filippo's Famous Pizza, 336 George St, New Brunswick, NJ 08901, 732-733-4096
Douglas Pizza & Grill, 298 George St, New Brunswick, NJ 08901, 732-917-7332
Loui Pizza City, 297 Somerset St, New Brunswick, NJ 08901, 732-289-9585
Knights Express Pizza & Grill, 43 Easton Ave, New Brunswick, NJ 08901, 732-313-0523
Panico's Brick Oven Pizza, 94 Church St, New Brunswick, NJ 08901, 732-387-3471
RU Grill & Pizza, 142 Easton Ave, New Brunswick, NJ 08901, 732-253-4565
Nuebies Pizza, 138 Easton Ave, New Brunswick, NJ 08901, 732-993-7248
Sam's Chicken & Pizza, 169 French St, New Brunswick, NJ 08901, 732-253-4437
25 Burgers & Pizza, 4 Easton Ave, New Brunswick, NJ 08901, 732-709-1423
Anthony's Italian Restaurant, 6 Jacobstown Rd, New Egypt, NJ 08533, 609-546-4155
Naples Pizza And Pasta, 879 Route 539, New Egypt, NJ 08533, 609-201-0806
Red Star II Pizza, 623 Rt 539, New Egypt, NJ 08533, 609-201-0713
Pasquale's Cuisine & Pizzeria, 78 Maple Ave Ste B, New Egypt, NJ 08533, 609-795-7139
Big Jim's Pizzeria, 281 Main St, New Milford, NJ 07646, 201-500-2281
Soprano's Pizzeria, 368 River Rd, New Milford, NJ 07646, 201-261-9252
Sanzari's New Bridge inn, 105 Old New Bridge Rd, New Milford, NJ 07646, 201-464-6837
Section 201, 704 River Rd, New Milford, NJ 07646, 201-771-8280
Tony's Pizza, 59 Pacific St, Newark, NJ 07105, 973-821-4723
Giovanni Pizza & Grill, 191 Central Ave, Newark, NJ 07102, 973-718-9625
Pizza 2000, 19 Court St, Newark, NJ 07102, 973-287-4448
Papa Pat's Pizza, 263 S Orange Ave, Newark, NJ 07103, 973-380-0237
Francesca's Pizza & Pasta, 62 Mc Whorter St, Newark, NJ 07105, 973-928-0049
Gencarelli's Pizzeria & Restaurant, 501 Bloomfield Ave, Newark, NJ 07107, 973-481-6900
Mulberry Street Pizza, 258 Mulberry St, Newark, NJ 07102, 973-363-2294
Queen Pizza & Deli, 938 Broad St, Newark, NJ 07102, 973-607-3282
Robert's Pizzeria, 63 New St, Newark, NJ 07102, 973-396-2718
Queen Pizza, 122 Halsey St, Newark, NJ 07102, 973-957-3167
A G Pizza & Restaurant Newton, 220 Spring St, Newton, NJ 07860, 973-601-5389
Bella Italia Ristorante & Pizzeria, 448 US-206, Newton, NJ 07860, 973-850-4598
G&S Deli, 267 Spring St, Newton, NJ 07860, 973-601-5384
Mengo's Pizzeria, 911 Swartswood Rd, Newton, NJ 7860, 973-756-3318
Pezzo Pizza, 227 Newton Sparta Rd #1, Newton, NJ 07860, 973-601-5594
Dominick's Pizzeria, 10 E Clinton St, Newton, NJ 07860, 973-601-5401
Villa Capri Pizzeria & Restaurant, 27 Hampton House Rd, Newton, NJ 07860, 973-601-5385
Authentic Pizza & Pasta, 55 Mill St #5, Newton, NJ 07860, 973-601-5607
Pizza Land, 260 Belleville Tpke, North Arlington, NJ 07031, 201-380-7557
Nonna Lisa Pizza, 41 River Rd, North Arlington, NJ 07031, 201-298-8902
Mykonos Restaurant, 440 Ridge Rd, North Arlington, NJ 07031, 201-702-1974
Brazilian Spices Steakhouse & Pizza, 440 Ridge Rd, North Arlington, NJ 07031, 201-720-5838
La Venere Ristorante Pizzeria, 614 Schuyler Ave, North Arlington, NJ 07031, 201-822-2496
Italian Villa, 173 Ridge Rd, North Arlington, NJ 07031, 201-380-8243
Arlington Pizza, 25 Schuyler Ave, North Arlington, NJ 7031, 201-380-8758
Centanni Ristorante, 11-35 River Rd, North Arlington, NJ 07031, 201-948-0282
Palermo Ristorante & Pizzeria, 7407 Broadway, North Bergen, NJ 07047, 201-720-4392
Nick's Pizza, 7715 Kennedy Blvd, North Bergen, NJ 07047, 201-482-1766
Sole Pizzeria & Restaurant, 8404 Kennedy Blvd, North Bergen, NJ 07047, 201-897-6529
Amore Pizzeria & Restaurant, 617 John F Kennedy Blvd, North Bergen, NJ 07087, 201-271-0444
Frank's Pizzeria, 4410 Bergen Tpke, North Bergen, NJ 07047, 201-879-6280
Aumm Aumm Pizzeria, 7701 Broadway, North Bergen, NJ 07047, 201-720-6953
Porto, 8921 Old River road, North Bergen, NJ 07047, 201-340-9706
Roma Pizzeria, 8620 Kennedy Blvd, North Bergen, NJ 7047, 201-992-8314
La Sorrentina, 7831 Bergenline Ave, North Bergen, NJ 07047, 201-340-6319
Gandolfo, 7523 Bergenline Ave, North Bergen, NJ 07047, 201-537-3119
Krispy Krust Pizza, 2228 US 130, North Brunswick, NJ 08902, 609-722-7074
Singas Famous Pizza, 1463 Finnegans Lane, North Brunswick, NJ 08824, 732-422-7444
Cristo's Pizza And Grill, 1052 Livingston Ave, North Brunswick, NJ 08902, 732-400-4614
Roberto's Pizza & Restaurant, 776 Carolier Ln, North Brunswick, NJ 08904, 732-355-3361
Margarita Pizzeria & Rstrnt, 1882 Us Highway 130, North Brunswick, NJ 8902, 732-387-6692
Nino's Pizza & Subs, 1825 US-130 #4, North Brunswick, NJ 08902, 732-507-9545
North Brunswick Pizza, 408 Renaissance Blvd, North Brunswick, NJ 8902, 732-723-4271
Sal's Pizza, 440 Towne Centre Dr, North Brunswick Township, NJ 08902, 732-992-6382
Brunswick Pizza & Grill, 2750 NJ-27, North Brunswick Township, NJ 08902, 732-297-3388
Leone's Trattoria, 1626 US-130, North Brunswick Township, NJ 08902, 732-393-8428
Italian Affair Pizza & Pasta, 3845 Bayshore Rd, North Cape May, NJ 08204, 609-305-6327
Brother's Pizza North Cape May, 3860 Bayshore Rd, North Cape May, NJ 08204, 609-459-0074
Roman's Pizza House, 3718 Bayshore Rd, North Cape May, NJ 08204, 609-622-5146
Vincenzo's Little Italy, 3704 Bayshore Rd, North Cape May, NJ 08204, 609-889-6610
Puzo's Family Restaurant, 885 Belmont Ave, North Haledon, NJ 07508, 973-358-7964
Spinachio Pizza, 5 Sicomac Rd, North Haledon, NJ 07508, 973-750-9659
Anthony's & Mario's Family, 547 High Mountain Rd, North Haledon, NJ 07508, 973-310-6642
DiMola's Pizza, 1060 US Highway 22, North Plainfield, NJ 07060, 903-742-4750
PizzaFire, 1256 Route 22 East, North Plainfield, NJ 07060, 201-685-4929
La Nonna Pizzeria, 328 Somerset St, North Plainfield, NJ 07060, 908-356-5003
La Strada Pizzeria, 393 Somerset St , North Plainfield, NJ 07060, 908-324-5933
San Remo Pizza & Restaurant, 579 US Highway 22 #4, North Plainfield, NJ 07060, 908-356-7518
Pepe's Italian Restaurant, 117 Watchung Ave, North Plainfield, NJ 07060, 908-941-0476
Capri Pizza & Grill, 900 Tilton Rd #4, Northfield, NJ 08225, 609-418-4683
Ventura's Offshore Cafe, 2015 Shore Rd, Northfield, NJ 08225, 609-616-4895
Nick's Pizza, 2405 New Rd, Northfield, NJ 08225, 609-796-4106
Chico & Sons, 1620 Tilton Road, Northfield, NJ 08225, 609-418-4860
Petrillo's Deli & pizzeria, 208 Livingston St, Northvale, NJ 07647, 201-228-9232
Il Giardino, 153 Paris Ave, Northvale, NJ 07647, 201-500-3188
Three Boys From Italy, 238 Livingston St, Northvale, NJ 7647, 201-879-0152
Cousins Pizza, 450 Livingston St, Norwood, NJ 07648, 201-897-7226
Ragazzi, 530 Livingston St, Norwood, NJ 07648, 201-899-4056
Mario's Pizzeria & Etc, 15 Broad St, Norwood, NJ 7648, 201-588-6543
Rocky's Pizzeria & Restaurant, 420 Franklin Ave, Nutley, NJ 07110, 973-836-5348
Luna Wood Fire Tavern, 223 N Franklin Ave, Nutley, NJ 07110, 973-988-2826
Gencarelli Brother's Pizza, 371 Centre St, Nutley, NJ 07110, 973-667-3663
Casa Turano, 660 Passaic Ave, Nutley, NJ 07110, 973-352-0498
Loue's Place Pizza & Pasta, 185 High St, Nutley, NJ 07110, 973-928-8649
Cucina 355, 355 Franklin Ave, Nutley, NJ 07110, 973-447-4898
Lil Burgers, 223 N Franklin Ave, Nutley, NJ 07110, 973-836-5498
Petracco & Sons Deli, 507 Bloomfield Ave, Nutley, NJ 07110, 973-858-5898
Cugini Deli, 671 Passaic Ave, Nutley, NJ 07110, 973-750-9523
Napoli Trattoria & Pizzeria, 633 Franklin Ave, Nutley, NJ 07110, 973-836-5119
Three Brothers Pizza & Italian Restaurant, 5531 Berkshire Valley Rd, Oak Ridge, NJ 07438, 973-858-4634
Pizza Station, 3043 State Rt 23, Oak Ridge, NJ 07461, 973-858-4718
Tj's Pizzeria Cafe, 5716 Berkshire Valley Rd, Oak Ridge, NJ 07438, 973-352-0179
Frank's Pizza, 5762 Berkshire Valley Rd, Oak Ridge, NJ 07438, 973-858-4978
Pintos Pizza & Catering, 5629 Berkshire Valley Rd, Oak Ridge, NJ 07438, 973-541-8083
Frank's Pizza of Oakland, 350 Ramapo Valley Rd, Oakland, NJ 07436, 201-552-4557
Cafe L'Amore, 455 Ramapo Valley Rd, Oakland, NJ 07436, 201-754-5850
Trovato's Due, 4 Barbara Ln, Oakland, NJ 07436, 201-897-6449
W's Grill, 20 Elm St, Oakland, NJ 07436, 201-416-4674
Luca Trattoria - Pizzeria, 20 W Oakland Ave, Oakland, NJ 07436, 201-897-7953
Juniors Pizza & Subs, 400 Ramapo Valley Rd, Oakland, NJ 07436, 201-689-5354
Philly's Phatties Pizza, 215 W Clinton Ave, Oaklyn, NJ 08107, 856-317-6521
Pepperoni Pizza & Grill, 1108 White Horse Pike, Oaklyn, NJ 08107, 856-672-3447
Randazzo's Pizzeria, 602 W Collings Ave, Oaklyn, NJ 08107, 856-522-4364
Zena's American Mediterranean Cuisine, 400 Richey Ave, Oaklyn, NJ 08107, 856-672-5673
Penn Pizza Palace, 2140 Mt Ephraim Ave, Oaklyn, NJ 08107, 856-559-7217
Romeo's Famous Pizza, 738 Wesley Ave, Ocean City, NJ 08226, 609-916-0456
Preps Pizzeria & Dairy Bar, 1004 Boardwalk, Ocean City, NJ 08226, 609-418-4435
Manco & Manco Pizza, 12th & Boardwalk, Ocean City, NJ 08226, 609-418-4697
Piccini Wood Fired Brick Oven Pizza, 1260 West Ave, Ocean City, NJ 08226, 609-385-2827
Manco & Manco Pizza, 900 Boardwalk, Ocean City, NJ 08226, 609-318-3369
Luigi's Italian Restaurant, 300 E 9th St, Ocean City, NJ 08226, 609-385-9064
Tony P's House of Pies, 986 Boardwalk, Ocean City, NJ 08226, 609-445-3765
Voltaco's Italian Foods, 957 West Ave, Ocean City, NJ 08226, 609-829-8759
Randazzo's, 34th Street & Asbury Ave, Ocean City, NJ 08226, 609-622-4838
Express Pizza & Subs, 719 Battersea Rd, Ocean City, NJ 08226, 609-445-3458
Bayshore Pizza Restaurant, 2515 N Route 9, Ocean View, NJ 08230, 609-910-2726
Giuseppe's Gourmet, 108 NJ-50, Ocean View, NJ 08230, 609-829-3208
Vita Bella, 3016 US 9, Ocean View, NJ 08230, 609-568-7888
Old Bridge Pizza, 3165 Route 9 North, Old Bridge, NJ 08857, 732-679-3322
Attilio's Pizza, 1447 NJ-18, Old Bridge, NJ 08857, 732-365-3466
Luigi's Restaurant & Pizzeria, 2984 Rd 516, Old Bridge, NJ 08857, 732-253-4963
Vinnie's Pizza Old Bridge, 1061 US 9, Old Bridge, NJ 08857, 732-812-8948
Azzinaro's Pizzeria Restaurant & Catering, 2649 Route 516, Old Bridge, NJ 08857, 732-655-6413
Giusseppe's Pizza, 2581 Country Rd 516, Old Bridge, NJ 08857, 732-440-3913
Krispy Pizza, 2590 County Rd 516, Old Bridge, NJ 08857, 732-365-4812
